id	title	description	availability	condition	price	link	image_link	brand
41001	Mi Tv	Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black)	in stock	new	12,999	https://www.amazon.in/Redmi-inches-Ready-L32M6-RA-Android/dp/B09F9YQQ7B/ref=sr_1_3?crid=ETABX2NTDTWC&keywords=tv&qid=1669783216&qu=eyJxc2MiOiI2LjgyIiwicXNhIjoiNi45OSIsInFzcCI6IjUuNDQifQ%3D%3D&sprefix=tv%2Caps%2C193&sr=8-3	https://m.media-amazon.com/images/I/71L-lTQnJiL._SL1500_.jpg	Redmi
41002	One Plus Tv	OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black)	in stock	new	14,980.00	https://www.amazon.in/OnePlus-inches-Ready-Android-32Y1/dp/B08B42LWKN/ref=sr_1_4?crid=ETABX2NTDTWC&keywords=tv&qid=1669783216&qu=eyJxc2MiOiI2LjgyIiwicXNhIjoiNi45OSIsInFzcCI6IjUuNDQifQ%3D%3D&sprefix=tv%2Caps%2C193&sr=8-4	https://m.media-amazon.com/images/I/71d5fMDvq9L._SL1500_.jpg	OnePlus
41003	LG Tv	 Roll over image to zoom in LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray)	in stock	new	7000	https://www.amazon.in/Flower-Pillow-Decorative-Cushion-Bedroom/dp/B095W73DZQ/ref=sr_1_1?crid=3SAVLLYEMHB6N&keywords=Accent+Pillow&qid=1669716262&qu=eyJxc2MiOiIzLjI0IiwicXNhIjoiMC43MiIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=accent+pillow%2Caps%2C257&sr=8-1	https://m.media-amazon.com/images/I/51PMruSjEsL._SL1000_.jpg	LG
41004	Samsung Tv	Samsung 80 cm (32 Inches) Wondertainment Series HD Ready	in stock	new	13,490.00	https://www.amazon.in/Samsung-Inches-Wondertainment-UA32T4340BKXXL-Glossy/dp/B09F6S8BT6/ref=sr_1_7?crid=ETABX2NTDTWC&keywords=tv&qid=1669783216&qu=eyJxc2MiOiI2LjgyIiwicXNhIjoiNi45OSIsInFzcCI6IjUuNDQifQ%3D%3D&sprefix=tv%2Caps%2C193&sr=8-7	https://m.media-amazon.com/images/I/71a4ZQNqTiL._SL1500_.jpg	Samsung
41005	Acer  Tv	Acer 127 cm (50 inches) I Series 4K Ultra HD Android Smart LED TV AR50AR2851UDFL (Black)	in stock	new	27,999.00	https://www.amazon.in/Acer-inches-Ultra-Android-AR50AR2851UDFL/dp/B0B1YZX72F/ref=sr_1_15?crid=ETABX2NTDTWC&keywords=tv&qid=1669783216&qu=eyJxc2MiOiI2LjgyIiwicXNhIjoiNi45OSIsInFzcCI6IjUuNDQifQ%3D%3D&sprefix=tv%2Caps%2C193&sr=8-15	https://m.media-amazon.com/images/I/71NGTvGMypL._SL1500_.jpg	Acer
41006	OnePlus SmartPhone	OnePlus 10T 5G (Moonstone Black, 12GB RAM, 256GB Storage)	in stock	new	54,999.00	https://www.amazon.in/OnePlus-Moonstone-Black-256GB-Storage/dp/B0B5V2KDNZ/ref=sr_1_2?crid=376CNSAK9H3NY&keywords=smartphone&qid=1669783732&qu=eyJxc2MiOiI4LjkxIiwicXNhIjoiOC41MCIsInFzcCI6IjYuNDUifQ%3D%3D&refinements=p_89%3AApple%7COnePlus&rnid=3837712031&s=electronics&sprefix=smartphon%2Caps%2C213&sr=1-2	https://m.media-amazon.com/images/I/71XKAnxCsLL._SL1500_.jpg	One Plus
41007	Apple SmartPhone	Apple iPhone 14 Plus 512GB Starlight	in stock	new	119,900.00	https://www.amazon.in/Apple-iPhone-Plus-128GB-Starlight/dp/B0BDJ9ZX8L/ref=sr_1_9?keywords=apple&qid=1669783953&qu=eyJxc2MiOiI3LjI5IiwicXNhIjoiNS44OSIsInFzcCI6IjQuNTAifQ%3D%3D&s=electronics&sr=1-9&th=1	https://m.media-amazon.com/images/I/61b7Ew7kjYL._SL1500_.jpg	Apple
41008	Oppo Reno7 SmartPhone	Oppo Reno7 Pro 5G (Startrails Blue, 12GB RAM, 256GB Storage)	in stock	new	34,749.00	https://www.amazon.in/OPPO-Reno7-Startrails-256GB-Storage/dp/B09DK2MT5D/ref=sr_1_21?keywords=oppo%5D&qid=1669784284&s=electronics&sr=1-21	https://m.media-amazon.com/images/I/31Tah4TynYL.jpg	Oppo
41009	Vivo SmartPhone	Vivo V23 5G (Stardust Black, 8GB RAM 128GB Storage)	in stock	new	27,490.00	https://www.amazon.in/Vivo-Stardust-Black-128GB-Storage/dp/B09DKBXCMZ/ref=sr_1_4?crid=193796JINXPND&keywords=vivo&qid=1669784523&qu=eyJxc2MiOiI2Ljg1IiwicXNhIjoiNi41OSIsInFzcCI6IjYuMTEifQ%3D%3D&s=electronics&sprefix=vivo%2Celectronics%2C225&sr=1-4	https://m.media-amazon.com/images/I/61maiDda5tL._SL1500_.jpg	Vivo
41010	realme smartphone	realme Narzo 50 Pro 5G (Hyper Blue 6GB RAM+128GB Storage) Dimensity 920 5G Processor |90Hz Super AMOLED Display	in stock	new	21,999.00	https://www.amazon.in/realme-Storage-Dimensity-Processor-Display/dp/B09ZBFD6TJ/ref=sr_1_1?crid=EX2ID9VZ5QMK&keywords=relame&qid=1669784648&qu=eyJxc2MiOiI2LjIzIiwicXNhIjoiNS43NCIsInFzcCI6IjQuMjgifQ%3D%3D&refinements=p_36%3A1318507031&rnid=1318502031&s=electronics&sprefix=realme%2Celectronics%2C214&sr=1-1	https://m.media-amazon.com/images/I/61maiDda5tL._SL1500_.jpgg	realme
